generator_id,n_fake,fake_recall_at_0.5,mean_score_fake,auc_vs_all_real,ap_vs_all_real
OpenSource_T2V_AnimateDiff,12,0.8333333333333334,0.8142740453282992,0.934,0.4249853939980579
OpenSource_T2V_RepVideo,11,0.9090909090909091,0.8856360912322998,0.9556363636363636,0.4086241978633283
OpenSource_I2V_LTX,14,0.9285714285714286,0.9053014261381966,0.9594285714285714,0.5775704985438878
OpenSource_T2V_Pyramid-Flow,17,0.9411764705882353,0.9109535883454716,0.9630588235294117,0.5934051212919769
OpenSource_I2V_SEINE,10,1.0,0.9364840745925903,0.9695999999999999,0.4618327505827506
OpenSource_I2V_SVD,9,1.0,0.9177847173478868,0.9644444444444445,0.4952944005885182
OpenSource_I2V_Pyramid-Flow,16,1.0,0.9507682099938393,0.9747499999999999,0.6470426592886903
OpenSource_I2V_EasyAnimate,10,1.0,0.9370920360088348,0.9700000000000001,0.5170250582750583
OpenSource_T2V_AccVideo,14,1.0,0.955522188118526,0.9777142857142858,0.6325924309117587
OpenSource_I2V_VideoCrafter,8,1.0,0.8021889925003052,0.9299999999999999,0.21132894602441257
OpenSource_T2V_Cogvideox1.5,13,1.0,0.8723330130943885,0.9523076923076923,0.47095982314011653
OpenSource_T2V_EasyAnimate,14,1.0,0.9470102063247136,0.9722857142857142,0.5428686849576029
OpenSource_T2V_IPOC,15,1.0,0.9427253405253092,0.9736,0.6379548504067933
OpenSource_T2V_HunyuanVideo,10,1.0,0.9214447915554047,0.9640000000000001,0.38927577357674803
OpenSource_T2V_Open-Sora,12,1.0,0.9613248507181803,0.9816666666666667,0.7372783497783499
OpenSource_T2V_LTX,13,1.0,0.9319668137110196,0.9676923076923077,0.5316245759744211
OpenSource_T2V_VideoCrafter,13,1.0,0.9089194811307467,0.960923076923077,0.48915581307964523
OpenSource_T2V_Wan2.1,14,1.0,0.8920380813734872,0.9560000000000001,0.4147006061163131
OpenSource_V2V_Cogvideox1.5,10,1.0,0.9581872403621674,0.9763999999999999,0.5260356361904349
OpenSource_V2V_LTX,15,1.0,0.9490565180778503,0.9712,0.4999521805483802
